meme_id,article_id,meme_name,parent_section,position,published_date,trend_status,extraction_source,meme_summary,usage_example,summary_source,summary_status,summary_confidence,source_url,collected_at
1929_1,1929,백룸코어,,1,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1929_2,1929,천연 위고비,,2,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1929_3,1929,요즘 뜨는 해외 숏폼 밈 2,,3,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1929_4,1929,Wow Okay,요즘 뜨는 해외 숏폼 밈 2,4,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1929_5,1929,Forgot Airpods trend,요즘 뜨는 해외 숏폼 밈 2,5,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1929_6,1929,자려고 누웠는데 양의지,,6,2026-06-17,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1929,2026-07-08T13:44:40+09:00
1905_1,1905,영크크 VS 늙크크(올크크),,1,2026-05-12,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1905,2026-07-08T13:44:42+09:00
1905_2,1905,난 널 버리지 않아 옵옵옵,,2,2026-05-12,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1905,2026-07-08T13:44:42+09:00
1905_3,1905,널 좋아하는 맘이 커졌어 진짜 커 막 공룡만해,,3,2026-05-12,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1905,2026-07-08T13:44:42+09:00
1905_4,1905,피라미드에도 악플이 달린다는 사실을 기억하자,,4,2026-05-12,current,toc,,,,insufficient_source,unknown,https://www.careet.net/1905,2026-07-08T13:44:42+09:00
1880_1,1880,좋음 좋음 좋음 👎👎👎,,1,2026-04-08,unknown,toc,,,,insufficient_source,unknown,https://www.careet.net/1880,2026-07-08T13:44:45+09:00
1880_2,1880,병원에 가보기로 했어요,,2,2026-04-08,unknown,toc,,,,insufficient_source,unknown,https://www.careet.net/1880,2026-07-08T13:44:45+09:00
