term_id,article_id,term,term_type,source_field,position,published_date,tags,relevance_score,source_url,collected_at
%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%_1,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,니가 좋아💖,keyword,h2,1,2026-06-23,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,2026-07-09T15:19:51+09:00
%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%_2,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,난 파라파라나 추고 있어야겠다💃 오이데,phrase,h2,2,2026-06-23,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,2026-07-09T15:19:51+09:00
%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%_3,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,띠로리 대신 띠로리리~↘,phrase,h2,3,2026-06-23,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,2026-07-09T15:19:51+09:00
%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%_4,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,디오 주간🥲,keyword,h2,4,2026-06-23,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,2026-07-09T15:19:51+09:00
%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%_5,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,천연 위고비🥚,keyword,h2,5,2026-06-23,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,2026-07-09T15:19:51+09:00
%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6_1,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,나 oo년생 ooo인데,phrase,h2,1,2026-06-10,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6_2,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,밀레니얼 vs젠지 담당자 비교,phrase,h2,2,2026-06-10,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6_3,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,자기 직업 불법적으로 말하기,phrase,h2,3,2026-06-10,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6_4,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,피라미드에도 악플이 달린다는 사실을 기억하자,phrase,h2,4,2026-06-10,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6_5,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,아이런걸로피곤하고싶지않다,phrase,h2,5,2026-06-10,SNS|밈|바이럴,3,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,2026-07-09T15:19:51+09:00
