source,category_name,article_id,url,title,published_date,tags,thumbnail_url,is_meme_related,meme_signal_terms,heading_count,detail_fetch_status,list_page,list_position,content_hash,parser_version,collected_at
gogumafarm,최신 밈과 트렌드,%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%,https://gogumafarm.kr/%eb%94%94%ec%98%a4-%ec%a3%bc%ea%b0%84-%eb%8b%88%ea%b0%80-%ec%a2%8b%ec%95%84-%ec%a7%80%ea%b8%88-%eb%8b%b9%ec%9e%a5-%ec%8d%a8%ec%95%bc%ed%95%98%eb%8a%94-%ec%b5%9c%ec%8b%a0-%ec%9c%a0%ed%96%89-%eb%b0%88/,디오 주간? 니가 좋아~ 지금 당장 써야하는 최신 유행 밈 모음,2026-06-23,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2026/06/260623.png,true,SNS|밈|바이럴|유행,5,success,1,1,ec94c0a7d716228f918c55cc6de052880c21b2cc196db76b1d5f4ca940387d8c,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6,https://gogumafarm.kr/%eb%82%98-%ea%b3%a0%ea%b5%ac%eb%a7%88%ed%8c%9c%ec%9d%b8%eb%8d%b0-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ea%b0%80%ec%a0%b8%ec%99%94%eb%8b%a4-2026%eb%85%84-6%ec%9b%94-%ec%b5%9c%ec%8b%a0/,나 고구마팜인데 요즘 뜨는 밈 가져왔다 [2026년 6월 최신 밈 모음],2026-06-10,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2026/06/260611.png,true,SNS|밈|바이럴,20,success,1,2,0e94684d438c12c5f88033cf64ecd4fa08c75ab38fd0f83dcee991a0ebd82e4f,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%eb%aa%a8%ec%9d%8c-green-green-2026%eb%85%84-5%ec%9b%94-%ec%b5%9c%ec%8b%a0-%eb%b0%88-%eb%aa%a8%ec%9d%8c/,요즘 유행하는 밈 모음 Green Green [2026년 5월 최신 밈 모음],2026-05-18,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2026/05/고구마팜5월-밈-모음_260518_02-3.png,true,SNS|밈|바이럴|유행,7,success,1,3,7de80825ec6b33dfaaba88c527248ed65f3c21973a7d274a759daaf177554bf7,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88-%ec%95%8c-%ec%88%98-%ec%9e%88%eb%8f%84%eb%a1%9d-%ea%b8%b0%eb%8f%84%ed%95%b4-%eb%93%9c%eb%a6%b4%ea%b2%8c%ec%9a%94-2026%eb%85%84-3/,요즘 유행하는 밈 알 수 있도록 기도해 드릴게요 [2026년 3월 최신 밈 모음],2026-03-30,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2026/03/260330.png,true,SNS|밈|바이럴|유행,7,success,1,4,f901a35a6691c7373d67283f740d619ac230cc0a4791799e503be48c9884fc0c,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9,https://gogumafarm.kr/%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9c%a4%ec%a0%95%ec%95%84-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%ec%95%8c%eb%a0%a4-%eb%8b%ac%eb%9e%ac%ec%a7%80-2026%eb%85%84-1%ec%9b%94-%ec%b5%9c%ec%8b%a0/,윤정아 윤정아 요즘 뜨는 밈 알려 달랬지 [2026년 1월 최신 밈 모음],2026-01-26,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2026/01/260126.png,true,SNS|밈|바이럴,7,success,1,5,b603183e08eb5bcd6a57d93d8ca4af33d583f29af3854013ae7433c68e123169,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-,https://gogumafarm.kr/2025%eb%85%84%ec%97%94-%ec%95%84%ec%a3%bc-%eb%a7%8e%ec%9d%80-%eb%b0%88%ec%9d%b4-%ec%9e%87%ec%97%87%ec%8a%a8-%ec%98%ac%ed%95%b4%eb%a5%bc-%eb%92%a4%ed%9d%94%eb%93%a0-%eb%b0%88-%ec%b4%9d/,2025년엔 아주 많은 밈이 잇엇슨… 올해를 뒤흔든 밈 총결산!,2025-12-17,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2025/12/고구마팜2025-밈-어워즈_251217_01.jpg,true,SNS|밈|바이럴,6,success,1,6,1b3d5e4036a8881f0773e1d2d44f16c1d891eaa7c893de3da47a61adba53b0a1,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88%ec%9d%b4-%ea%b,https://gogumafarm.kr/%ec%9a%94%ec%a6%98-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88%ec%9d%b4-%ea%b0%80%eb%93%9d%ea%b0%80%eb%93%9d%ed%95%98%eb%8b%a4-uh-%ea%b0%80%eb%93%9d%ea%b0%80%eb%93%9d%ed%95%9c-2025%eb%85%84-11/,요즘 유행하는 밈이 가득가득하다 uh 가득가득한 [2025년 11월 최신 밈 모음],2025-12-01,SNS|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2025/12/고구마팜최신밈_251201.jpg,true,SNS|밈|바이럴|유행,20,success,1,7,26b4fa069d3230649bfa8bcb916f2b34ba8d647f6923f37b225b1d8ebbe991cf,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,ai-%ec%82%bf%ed%8f%ac%eb%a1%9c%ec%83%b7%eb%b6%80%ed%84%b0-%ea%b3%a0%eb%ac%b4%ec%,https://gogumafarm.kr/ai-%ec%82%bf%ed%8f%ac%eb%a1%9c%ec%83%b7%eb%b6%80%ed%84%b0-%ea%b3%a0%eb%ac%b4%ec%a7%9c%ea%b8%b0%ea%b9%8c%ec%a7%80-%ec%a7%80%ea%b8%88-%ec%95%88-%eb%b3%b4%eb%a9%b4-%eb%8a%a6%eb%8a%94-2025%eb%85%84-10/,"AI 삿포로샷부터 고무짜기까지, 지금 안 보면 늦는 [2025년 10월 최신 밈&콘텐츠 모음]",2025-11-04,Z세대|밈|바이럴,https://gogumafarm.kr/wp-content/uploads/2025/11/Frame-3-1.png,true,밈|바이럴,6,success,1,8,405ee3bd8d1f46a050370a97469de5728abd5bfa78f51c3cd836b395c3081388,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ea%b7%80%ed%95%98%ea%b2%8c-%ec%9e%90%eb%9e%80-%eb%82%b4%ea%b0%80-%ec%9c%a0%ed%9,https://gogumafarm.kr/%ea%b7%80%ed%95%98%ea%b2%8c-%ec%9e%90%eb%9e%80-%eb%82%b4%ea%b0%80-%ec%9c%a0%ed%96%89%ed%95%98%eb%8a%94-%eb%b0%88%ec%9d%80-%ec%95%8c%ec%95%84%ec%95%bc-%ed%95%98%ec%a7%80-%ec%95%8a%ec%9d%84%ea%b9%8c-202/,귀하게 자란 내가 유행하는 밈은 알아야 하지 않을까? [2025년 9월 최신 밈 모음],2025-10-01,SNS|밈,https://gogumafarm.kr/wp-content/uploads/2025/09/고구마팜썸네일-0930.png,true,SNS|밈|유행,5,success,1,9,cd0c5d6c59bf4e7cc0e949610b08285aedb95735b822ccd39fd9de039d5d216c,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
gogumafarm,최신 밈과 트렌드,%ea%b0%88%ed%85%8c%ec%95%bc-%ea%b0%88%ed%85%8c%ec%95%bc-%ec%9a%94%ec%a6%98-%eb%9,https://gogumafarm.kr/%ea%b0%88%ed%85%8c%ec%95%bc-%ea%b0%88%ed%85%8c%ec%95%bc-%ec%9a%94%ec%a6%98-%eb%9c%a8%eb%8a%94-%eb%b0%88-%eb%b3%b4%eb%9f%ac-%ea%b0%88%ed%85%8c%ec%95%bc-2025%eb%85%84-8%ec%9b%94-%ec%b5%9c%ec%8b%a0/,갈테야 갈테야 요즘 뜨는 밈 보러 갈테야 [2025년 8월 최신 밈 모음],2025-09-05,SNS|밈,https://gogumafarm.kr/wp-content/uploads/2025/09/고구마팜-말랭이썸네일_250905-scaled.jpg,true,SNS|밈,6,success,1,10,58ee2efa33770d36642a066719392887e452e3d19310ccd98d711021b27b000a,2026-07-09.api_terms.1,2026-07-09T15:19:51+09:00
