period,ratio
2024-07-01,62.9601
2024-07-08,66.7876
2024-07-15,64.41323
2024-07-22,71.39971
2024-07-29,85.47594
2024-08-05,75.84252
2024-08-12,83.35633
2024-08-19,68.58278
2024-08-26,67.16391
2024-09-02,62.37199
2024-09-09,64.20829
2024-09-16,99.22293
2024-09-23,61.50491
2024-09-30,73.39275
2024-10-07,66.05418
2024-10-14,59.71796
2024-10-21,59.04668
2024-10-28,57.25745
2024-11-04,56.34262
2024-11-11,57.84579
2024-11-18,55.20821
2024-11-25,51.33364
2024-12-02,58.62468
2024-12-09,54.70555
2024-12-16,56.46805
2024-12-23,69.32054
2024-12-30,64.62412
2025-01-06,54.56824
2025-01-13,56.87703
2025-01-20,56.7059
2025-01-27,87.14636
2025-02-03,56.21672
2025-02-10,61.41694
2025-02-17,62.80999
2025-02-24,65.6765
2025-03-03,62.95713
2025-03-10,59.50045
2025-03-17,60.26997
2025-03-24,59.34028
2025-03-31,58.20313
2025-04-07,59.56328
2025-04-14,59.55642
2025-04-21,58.83762
2025-04-28,68.43221
2025-05-05,71.63071
2025-05-12,58.19171
2025-05-19,57.38791
2025-05-26,57.10528
2025-06-02,72.36344
2025-06-09,58.09872
2025-06-16,57.76011
2025-06-23,60.76806
2025-06-30,63.69055
2025-07-07,63.86145
2025-07-14,58.06764
2025-07-21,69.8401
2025-07-28,77.78574
2025-08-04,68.38308
2025-08-11,74.27674
2025-08-18,64.6689
2025-08-25,62.02767
2025-09-01,57.5924
2025-09-08,57.22638
2025-09-15,55.61925
2025-09-22,53.60085
2025-09-29,62.87373
2025-10-06,100.0
2025-10-13,54.29452
2025-10-20,54.99481
2025-10-27,53.28395
2025-11-03,52.67664
2025-11-10,54.1837
2025-11-17,51.82693
2025-11-24,51.19997
2025-12-01,49.72719
2025-12-08,52.67984
2025-12-15,54.51431
2025-12-22,68.19733
2025-12-29,67.23543
2026-01-05,54.53602
2026-01-12,56.71207
2026-01-19,55.09717
2026-01-26,54.73503
2026-02-02,52.84229
2026-02-09,53.61593
2026-02-16,81.51592
2026-02-23,56.63553
2026-03-02,53.77404
2026-03-09,51.76318
2026-03-16,53.15714
2026-03-23,52.93117
2026-03-30,53.94288
2026-04-06,53.8419
2026-04-13,56.25374
2026-04-20,54.53693
2026-04-27,62.00391
2026-05-04,64.01179
2026-05-11,53.56978
2026-05-18,56.53545
2026-05-25,59.51096
2026-06-01,59.03572
2026-06-08,53.55264
2026-06-15,52.72166
2026-06-22,55.15177
2026-06-29,54.26458
