keyword,old_count,new_count,change
메이플랜드,1.0,24.0,23.0
t1,5.0,26.0,21.0
메이플,25.0,40.0,15.0
apex,0.0,14.0,14.0
legends,2.0,14.0,12.0
영화,7.0,15.0,8.0
정승환,0.0,7.0,7.0
메이플스토리,5.0,12.0,7.0
합방,1.0,7.0,6.0
Stray,0.0,5.0,5.0
스트레이,0.0,5.0,5.0
노가리,0.0,5.0,5.0
Kids,0.0,5.0,5.0
스트리머,4.0,9.0,5.0
예고편,13.0,18.0,5.0
키즈,0.0,5.0,5.0
teaser,0.0,5.0,5.0
스키즈,0.0,5.0,5.0
skz,0.0,5.0,5.0
하우카우,0.0,4.0,4.0
트레일러,0.0,4.0,4.0
THIS,0.0,4.0,4.0
Good,0.0,4.0,4.0
버튜버,0.0,4.0,4.0
THAT,0.0,4.0,4.0
So,0.0,4.0,4.0
SKZ,0.0,4.0,4.0
히나,0.0,4.0,4.0
티원,1.0,5.0,4.0
인생게임,0.0,4.0,4.0
라이브,0.0,4.0,4.0
컴백,0.0,4.0,4.0
최유리,0.0,4.0,4.0
찬해,0.0,4.0,4.0
아이들,2.0,6.0,4.0
스텔라이브,1.0,4.0,3.0
트위치,2.0,5.0,3.0
T1,6.0,9.0,3.0
SBS,0.0,3.0,3.0
호프,37.0,40.0,3.0
vtuber,0.0,3.0,3.0
플래닛,0.0,3.0,3.0
버츄얼,0.0,3.0,3.0
런민기,0.0,3.0,3.0
Highway,0.0,3.0,3.0
파이터,0.0,3.0,3.0
계모임,0.0,3.0,3.0
This,0.0,3.0,3.0
KIHYUN,0.0,3.0,3.0
월즈,0.0,3.0,3.0
다모임,0.0,3.0,3.0
명예훈장,0.0,3.0,3.0
명훈,0.0,3.0,3.0
다큐,0.0,3.0,3.0
기현,0.0,3.0,3.0
스팀게임,0.0,2.0,2.0
보약,0.0,2.0,2.0
Because,0.0,2.0,2.0
Breeze,0.0,2.0,2.0
Trailer,0.0,2.0,2.0
여돌,0.0,2.0,2.0
8뉴스,0.0,2.0,2.0
Wish,0.0,2.0,2.0
Summer,0.0,2.0,2.0
MRCH,0.0,2.0,2.0
Dat,1.0,3.0,2.0
Love,1.0,3.0,2.0
Mine,0.0,2.0,2.0
하는,0.0,2.0,2.0
dle,2.0,4.0,2.0
원더케이,0.0,2.0,2.0
SPORT,0.0,2.0,2.0
아프리카,4.0,6.0,2.0
야랄,0.0,2.0,2.0
Original,0.0,2.0,2.0
유챔,0.0,2.0,2.0
Goodbye,0.0,2.0,2.0
howcow,0.0,2.0,2.0
kids,0.0,2.0,2.0
cyberpunk,0.0,2.0,2.0
이기는,0.0,2.0,2.0
신곡,0.0,2.0,2.0
헥시아,0.0,2.0,2.0
메이플키우기,0.0,2.0,2.0
실시간,1.0,3.0,2.0
어쌔신,0.0,2.0,2.0
Pacific,0.0,2.0,2.0
lck,7.0,9.0,2.0
Your,0.0,2.0,2.0
mv,0.0,2.0,2.0
메랜,1.0,3.0,2.0
이문주,3.0,5.0,2.0
토크,1.0,3.0,2.0
peyz,0.0,2.0,2.0
마크,1.0,3.0,2.0
사또,2.0,4.0,2.0
옛날메이플,1.0,3.0,2.0
stray,0.0,2.0,2.0
탬탬버린,0.0,2.0,2.0
리니지,8.0,10.0,2.0
인터넷방송,0.0,2.0,2.0
HOWCOW,0.0,2.0,2.0
uuu,0.0,2.0,2.0
닌텐도,1.0,3.0,2.0
유니버스,0.0,2.0,2.0
s29,0.0,2.0,2.0
입춘,0.0,2.0,2.0
롤드컵,1.0,3.0,2.0
장난,0.0,2.0,2.0
타임어택,0.0,2.0,2.0
황정민,3.0,5.0,2.0
타비,1.0,3.0,2.0
강화,1.0,3.0,2.0
경기,0.0,2.0,2.0
클래식,4.0,6.0,2.0
전사,0.0,2.0,2.0
전설의,0.0,2.0,2.0
Gimme,1.0,3.0,2.0
러쉬,0.0,2.0,2.0
유니온,0.0,2.0,2.0
1theK,0.0,2.0,2.0
카트라이더,0.0,2.0,2.0
티저,1.0,3.0,2.0
그림,1.0,3.0,2.0
경제,0.0,2.0,2.0
싸워,0.0,2.0,2.0
도적,0.0,2.0,2.0
Kyoeun,1.0,3.0,2.0
치지직,4.0,6.0,2.0
축가,0.0,2.0,2.0
카트,0.0,2.0,2.0
comeback,0.0,2.0,2.0
김데데,0.0,2.0,2.0
대전,0.0,2.0,2.0
데슬,0.0,2.0,2.0
초고수,1.0,3.0,2.0
최강,0.0,2.0,2.0
직업추천,0.0,2.0,2.0
몬스타엑스,0.0,2.0,2.0
지작,0.0,2.0,2.0
트리플,0.0,2.0,2.0
아즈,0.0,2.0,2.0
오버워치,0.0,2.0,2.0
Was,0.0,2.0,2.0
하나,0.0,2.0,2.0
BABYMONSTER,0.0,2.0,2.0
BJ,0.0,2.0,2.0
BORDERLINE,0.0,2.0,2.0
Coast,0.0,2.0,2.0
뉴스,0.0,2.0,2.0
시라유키,0.0,2.0,2.0
That,0.0,2.0,2.0
2기생,0.0,2.0,2.0
HAN,0.0,1.0,1.0
HARAM,0.0,1.0,1.0
스토리,1.0,2.0,1.0
쌀먹,0.0,1.0,1.0
스펙업,0.0,1.0,1.0
스피어맨,0.0,1.0,1.0
스텔라,0.0,1.0,1.0
스텔라이브2기,0.0,1.0,1.0
승민,0.0,1.0,1.0
시너지,0.0,1.0,1.0
시라소니,0.0,1.0,1.0
스틸라이브,0.0,1.0,1.0
스릴러,0.0,1.0,1.0
시리유키,0.0,1.0,1.0
시리즈,0.0,1.0,1.0
시부키,1.0,2.0,1.0
시소인간,0.0,1.0,1.0
Homeground,0.0,1.0,1.0
Hurdle,1.0,2.0,1.0
플로스,0.0,1.0,1.0
피닉스박,1.0,2.0,1.0
II,1.0,2.0,1.0
IT,0.0,1.0,1.0
HYUNJIN,0.0,1.0,1.0
Jun,0.0,1.0,1.0
JungSeungHwan,0.0,1.0,1.0
Hwang,0.0,1.0,1.0
KNOW,0.0,1.0,1.0
Kacper,0.0,1.0,1.0
스위치,1.0,2.0,1.0
슉맨,0.0,1.0,1.0
스텔,0.0,1.0,1.0
스텔2기생,0.0,1.0,1.0
스위츠,0.0,1.0,1.0
야구선수,0.0,1.0,1.0
얼굴,1.0,2.0,1.0
없다,0.0,1.0,1.0
에겐남,0.0,1.0,1.0
얘들아,0.0,1.0,1.0
에스비에스,0.0,1.0,1.0
어엉,0.0,1.0,1.0
쇼핑몰,0.0,1.0,1.0
수삼,2.0,3.0,1.0
쇼츠,0.0,1.0,1.0
수환,0.0,1.0,1.0
여자들의,0.0,1.0,1.0
여장남자,0.0,1.0,1.0
여제의,0.0,1.0,1.0
엔딩까지,0.0,1.0,1.0
엔비디아,0.0,1.0,1.0
엔씨소프트,0.0,1.0,1.0
LIKE,0.0,1.0,1.0
LIVE,1.0,2.0,1.0
프로게이머,1.0,2.0,1.0
포켓몬,1.0,2.0,1.0
포함,0.0,1.0,1.0
표도,0.0,1.0,1.0
플러스,0.0,1.0,1.0
플레이오프,0.0,1.0,1.0
플레이포커,1.0,2.0,1.0
풀이,0.0,1.0,1.0
역대급,0.0,1.0,1.0
여자,0.0,1.0,1.0
세글자,3.0,4.0,1.0
셀로브방,0.0,1.0,1.0
생겼습니다,0.0,1.0,1.0
솔로,1.0,2.0,1.0
소원이,0.0,1.0,1.0
MONSTA,0.0,1.0,1.0
MSI,4.0,5.0,1.0
NEWS,0.0,1.0,1.0
NEW팀,0.0,1.0,1.0
LEE,0.0,1.0,1.0
Krystian,0.0,1.0,1.0
Ku,0.0,1.0,1.0
서든,0.0,1.0,1.0
서든어택,0.0,1.0,1.0
생각하긴,0.0,1.0,1.0
서우내,0.0,1.0,1.0
서운해,0.0,1.0,1.0
서울,0.0,1.0,1.0
서클,0.0,1.0,1.0
생존기,1.0,2.0,1.0
옛날,0.0,1.0,1.0
선수들은,0.0,1.0,1.0
설정,0.0,1.0,1.0
성세천하,0.0,1.0,1.0
오늘처럼,0.0,1.0,1.0
오리아나,1.0,2.0,1.0
예매,0.0,1.0,1.0
예민하네,0.0,1.0,1.0
오리지널,0.0,1.0,1.0
오묘한,0.0,1.0,1.0
오토코노코,0.0,1.0,1.0
오너,0.0,1.0,1.0
오픈,0.0,1.0,1.0
온더스팟,0.0,1.0,1.0
온세상이티원,0.0,1.0,1.0
온세티,0.0,1.0,1.0
