video_id,title,channel_title,category_id,published_at,view_count,like_count,comment_count,tags,url
FFjDEkZg-54,i-dle (아이들) 'Gimme Dat Love' Official Music Video,i-dle (아이들),10,2026-07-06T09:00:01Z,3885194,156743,10551,"kpop,IDLE,여자아이들,아이들,미연,민니,소연,우기,슈화,MIYEON,MINNIE,SOYEON,YUQI,SHUHUA,큐브,CUBE,i-dle,idle",https://www.youtube.com/watch?v=FFjDEkZg-54
DrNM5QhAr_M,[호프] 인터내셔널 메인 예고편,플러스엠 엔터테인먼트,1,2026-07-06T01:30:09Z,1069334,8849,3391,,https://www.youtube.com/watch?v=DrNM5QhAr_M
bfsLRivAWIQ,로크 장인입니다,PAKA,20,2026-07-07T08:30:24Z,280639,2037,283,"파카,paka,손인욱,리그오브레전드",https://www.youtube.com/watch?v=bfsLRivAWIQ
VhmQ1GL66GI,[성시경 노래] 68. 나와 같다면 (With.김장훈) l Sung Si Kyung Music,성시경 SUNG SI KYUNG,24,2026-07-06T09:00:06Z,371090,17621,2892,"성시경,성시경유튜브,SUNGSIKYUNG,SSK,ソンシギョン,成始璄",https://www.youtube.com/watch?v=VhmQ1GL66GI
iyowqc-ioYk,와.. 드디어 떴습니다.. ≪호프≫ 메인 예고편 떡밥 & 분석 총정리,무비띵크_Movie Think,1,2026-07-06T09:09:12Z,408172,4404,1694,"영화리뷰,영화추천,무비띵크,마블,마블영화,마블유튜브,마블유튜버,마블띵크,디즈니플러스,MCU,떴냐,루머띵크,디즈니 마블,마블 디즈니,호프,hope,나홍진,황정민,조인성,나홍진 호프,호프 예고편,호프 티저,호프 티저예고편,호프 메인예고편,호프 공식 예고편,호프 외계인,호프 스토리,호프 떡밥,호프 결말,호프 배우,호프 메인 예고편,호프 음문석,음문석,호프 임현식,호프 괴물",https://www.youtube.com/watch?v=iyowqc-ioYk
b8mjPaT0UZY,레전드 운빨로 전설의 포켓몬 잡았습니다,말왕TV,20,2026-07-07T09:00:21Z,253912,3513,320,"코블몬,말왕,마인크래프트,minecraft,마크,포켓몬스터,포켓몬,코블버스",https://www.youtube.com/watch?v=b8mjPaT0UZY
w_c-iRTVs2Q,[Official Performance] cosmosy 'Paradise ~ I need you ~' 😈✨,cosmosy_yt,10,2026-07-03T12:00:14Z,159506,1024,86,,https://www.youtube.com/watch?v=w_c-iRTVs2Q
g4BhrY6o9kg,"《호프》 메인 예고편 드디어 떴다!!🔥 마이클 패스벤더 외계인 얼굴 최초공개ㄷㄷ 황정민, 조인성 VS 외계인 액션씬 대거 공개..",엘플릭스 [LPLIX],1,2026-07-06T09:25:28Z,159448,1465,289,"엘플릭스,앨플릭스,LPLIX,영화,드라마,넷플릭스 뽕뽑기,넷플릭스 뽕 뽑기,엘플렉스,앨플렉스,영화 리뷰,드라마 리뷰,호프,hope,HOPE,영화 호프,호프 영화,HOPE 영화,영화 HOPE,호프 리뷰,호프 프리뷰,호프 예고편,호프 최종 예고편,호프 마지막 예고편,호프 인터내셔널 예고편,호프 인터내셔널 메인예고편,호프 파이널 예고편,조인성,황정민,음문석,정호연,마이클 패스밴더,호프 배우,호프 출연진,호프 CG,호프 퀄리티,호프 칸 영화제,칸 영화제 호프,마이클 패스벤더",https://www.youtube.com/watch?v=g4BhrY6o9kg
tiZKcuuyQoY,BLG vs LYON - T1 vs FUR | 브래킷 스테이지 승자조 2라운드 - 패자조 1라운드 | MSI 2026,LCK,20,2026-07-06T09:23:39Z,1628327,0,44,"LCK,LCK Korea,롤챔스,티원,에욱,SNL,LCK썸네일,편집자,스크,T1,SKT,skt,t1,썸네일,DK,GEN,DRX,KT,HLE,POG,MVP,WORLDS,롤드컵,MSI,ALLSTAR,lck 서머,lck 썸머,lck 써머,lck 스프링,lck summer,lck spring,LSB,NS,한화생명,농심,케이티,젠지,아프리카,담원,브리온,Brion,BRO,므시,올스타,매드무비,위클리 코맨터리,MIC Check,MIC 첵,롤분토론,동준좌,클템,성캐,위클리 매드무비,전프시,오프더레코드,월드챔피언십,단톡,롤더넥,마이크체크,광동,광동프릭스,KDF,Kwangdong Freecs,베스트모먼트,롤리나잇,레알클래스,성캐쇼,LCK10주년,혓바닥터스,헬리오스,캡틴잭,빠른별,샤이,리브샌박,디플러스 기아,디플,플레임,시크릿보드룸,단군,리뷰데스크,포니,꼬꼬갓,고수진,배혜지,함예진,윤수빈,2023LCK,2023롤챔스,노페,후니,박진영",https://www.youtube.com/watch?v=tiZKcuuyQoY
s5iZnQvsus4,Hurdle (Art. Kyoeun),Anonymous Artists - Topic,10,2026-07-05T03:00:24Z,49356,1020,28,"Anonymous Artists (어나니머스 아티스트),Kyoeun,교은,Hurdle (Art. Kyoeun)",https://www.youtube.com/watch?v=s5iZnQvsus4
hQUVIT8m-c0,"Stray Kids ""THIS & THAT"" Trailer",JYP Entertainment,10,2026-07-07T15:00:03Z,1065323,280664,19982,"Stray Kids,스트레이 키즈,SKZ,스키즈,방찬,BANG CHAN,리노,LEE KNOW,창빈,CHANGBIN,현진,황현진,HYUNJIN,한,한지성,HAN,필릭스,FELIX,용복,승민,김승민,SEUNGMIN,아이엔,I.N,stray kids comeback,스트레이 키즈 컴백,스키즈 컴백,skz comeback,skz,SKZ Teaser,스키즈 티저,스트레이 키즈 티저,skz teaser,Stray Kids teaser,skz teaser video,stray kids mv teaser,skz mv teaser,SKZ THIS & THAT,Stray Kids THIS & THAT,스트레이 키즈 트레일러,스키즈 트레일러,스키즈 컴백 트레일러,스트레이 키즈 컴백 트레일러,SKZ This & That,Stray Kids This & That,This & that,THIS & THAT",https://www.youtube.com/watch?v=hQUVIT8m-c0
oKfp-SjcZnY,그림 숨바꼭질 씽크빅 100점 출신 유저의 창의력,우주하마,20,2026-07-07T02:30:17Z,184615,3228,319,"병맛게임,ㅋㅋㅋㅋ,uzuhama",https://www.youtube.com/watch?v=oKfp-SjcZnY
fRFXg51kgbg,Pacific Coast Highway,Forrest Rose - Topic,10,2026-07-02T00:01:44Z,59159,3603,10,"Forrest Rose,Postcards From The Highway,Pacific Coast Highway",https://www.youtube.com/watch?v=fRFXg51kgbg
_yBqV9UHFFc,"[5회 예고] “민지가 살아있었어” 소지섭, 딸 서수민이 남기고 떠난 흔적에 비장한 결심!",SBS 스브스 Drama,24,2026-07-04T14:12:13Z,170252,755,155,"sbs,20260704,소지섭,서수민,최대훈,윤경호,주상욱,김부장,김부장5회예고,김부장5회미리보기,김부장예고",https://www.youtube.com/watch?v=_yBqV9UHFFc
88M5E0MdAZY,"옛날메이플(플래닛) : 전섭에 딱 하나! 최강 법사 안경을 만들었다 ㄷㄷ  [팡이요,  메이플스토리 월드:플래닛]",팡이요,20,2026-07-07T09:00:15Z,171409,549,114,"메이플스토리,메이플,메이플1,팡이요,팡이,BJ팡이,BJ팡이요,maple,강화,스타포스,스타포스강화,히어로,로얄스타일,레드큐브,블랙큐브,레큐,블큐,maplestory,maple story,아프리카TV,육성,아델,옛날메이플,플래닛",https://www.youtube.com/watch?v=88M5E0MdAZY
xvIcOWskEME,이별하러 가는 길,Onestar - Topic,10,2026-07-01T02:34:11Z,26467,66,1,"임한별,이별하러 가는 길",https://www.youtube.com/watch?v=xvIcOWskEME
dC_HaATa19w,킬러들의 쇼핑몰 시즌2 | 메인 예고편 | 디즈니+,Disney Plus Korea 디즈니 플러스 코리아,1,2026-07-06T23:00:03Z,262716,2527,343,,https://www.youtube.com/watch?v=dC_HaATa19w
XX_hhfRE16s,자! 이번엔 삼촌이 술래~,유병재,23,2026-07-06T10:01:10Z,334047,4878,132,"코미디,개그,라이브코미디,comedy,korea comedy,유병재,문상훈,유규선,웹예능,문학의밤,게임,시청자참여,두뇌게임",https://www.youtube.com/watch?v=XX_hhfRE16s
Y9n-Cozs9nw,때로는,Ivory - Topic,10,2026-07-05T03:04:36Z,69596,1194,20,"Ivory,아이보리,때로는,Sometimes",https://www.youtube.com/watch?v=Y9n-Cozs9nw
rfKRv-8-Tu8,≪호프 ≫가 숨긴 무서운 목적이 밝혀졌다..! 마지막 예고편 분석,김시선,1,2026-07-06T10:51:22Z,75218,747,215,"영화,영화리뷰,시네마,개봉작,극장,무비,예고편,영화소개,어드벤쳐,슈퍼히어로,베스트,순위,흥행기록,비하인드,다시보기,감독,김시선,영화추천,드라마,드라마추천,요약",https://www.youtube.com/watch?v=rfKRv-8-Tu8
MIKy-ci1FwM,지는 법을 까먹었다는 래더S 2900점 초고수 상대를 만났습니다ㄷㄷ,[ALTUBE] 김성현TV,20,2026-07-07T09:30:26Z,117134,1248,131,"스타,스타크래프트,starcraft,알파고,김성현,zerg,terran,protoss,저그,테란,프로토스,스타크래프트리마스터,게임",https://www.youtube.com/watch?v=MIKy-ci1FwM
9cS2wv6AfHk,BABYMONSTER - 'I LIKE IT' M/V,BABYMONSTER,10,2026-07-05T15:00:00Z,14876413,658975,47526,"BABYMONSTER,베이비몬스터,베몬,BABYMON,BAEMON,하람,아현,루카,치키타,파리타,로라,아사,HARAM,AHYEON,RUKA,CHIQUITA,PHARITA,RORA,ASA",https://www.youtube.com/watch?v=9cS2wv6AfHk
7A-uTOPzE0c,"와! 드디어 예고편 떴다! 이건 무조건 천만 간다! ≪호프≫ 예고편 분석, 떡밥 풀이 총정리!",줌인센타 zOOm in Center,1,2026-07-07T04:43:44Z,20580,302,143,"줌인센타,zOOm in center,영화 비하인드 스토리,영화 감독,영화 배우,메이킹 필름,비하인드스토리,결말 포함,영화 리뷰,유튜브 영화,한국 영화,넷플릭스,드라마,시리즈,유니버스,인터네셔널 예고편,호프,HOPE,황정민,조인성,정호연,알리시아 비칸데르,마이클 패스벤더,테일러 러셀,카메론 브리튼,SF,액션,스릴러,플러스 엠,메가박스,나홍진,호프 예고편,황정민 영화,영화 예매,블럭버스터",https://www.youtube.com/watch?v=7A-uTOPzE0c
f8YERFfe6pI,속는 사람이 아무도 없는 숨바꼭질ㅋㅋㅋ 【메챠카멜레온】,튜브김민교,20,2026-07-06T12:12:48Z,251283,1581,78,"김민교,민교,교튜브,튜브 김민교",https://www.youtube.com/watch?v=f8YERFfe6pI
LHWp8DG5-m8,What if,Seo Yeolmu - Topic,10,2026-06-10T09:04:54Z,59903,4407,557,"Seo Yeolmu,서열무,Lullaby,What if",https://www.youtube.com/watch?v=LHWp8DG5-m8
5_6GRFK13vc,Apex Legends x Cyberpunk Event Trailer,Apex Legends,20,2026-07-07T15:00:20Z,335634,20223,1446,"apex legends,apex legends season 29,apex legends cyberpunk,cyberpunk event,apex legends wildcard,apex legends overclocked,apex legends s29,apex s29,apex legends trailer,apex legends skins,battle royale,apex legends ps5,apex legends ps4,apex legends xbox,apex legends switch,apex legends pc,respawn entertainment,electronic arts",https://www.youtube.com/watch?v=5_6GRFK13vc
GI5mmTZXGVc,보물을 털어 재벌이 되는 트레저헌터의 인생ㅋㅋㅋ,왈도쿤,20,2026-07-07T11:00:14Z,127594,3021,361,"왈도쿤,게임,치지직,스트리머,인생게임,닌텐도,닌텐도 스위치,닌텐도 인생게임,스위치 인생게임,왈도쿤 인생게임,보드게임,러끼,장마군,마레 플로스,야구선수",https://www.youtube.com/watch?v=GI5mmTZXGVc
oMK1cYhIVwg,PSY - ‘나팔바지’ Live Performance at 싸이흠뻑쇼 SUMMERSWAG 2026,officialpsy,24,2026-07-06T03:00:07Z,423972,5177,459,,https://www.youtube.com/watch?v=oMK1cYhIVwg
RqF_VEJpKZ8,돌아온 공포의 클래스 룸,이도원,20,2026-07-06T07:58:36Z,307336,7881,338,"이도원,돌아온,공포의,더 클래스 룸,the class rooms",https://www.youtube.com/watch?v=RqF_VEJpKZ8
pN_Z07TYkEA,So Good,KIHYUN - Topic,10,2026-07-07T09:00:01Z,8352,264,0,"KIHYUN,기현 (몬스타엑스),BORDERLINE,So Good",https://www.youtube.com/watch?v=pN_Z07TYkEA
K4sdRUauykQ,힘의 차이가 뭔지 보여주는 우리동네 골목대장 퉁퉁이형,팔차선 [8LJAYWALKING],20,2026-07-07T09:00:07Z,101299,695,94,,https://www.youtube.com/watch?v=K4sdRUauykQ
tUO8uTc9PU8,FAME (feat. Song Ga In & Chancellor),MC MONG - Topic,10,2026-06-30T15:00:13Z,38280,142,5,"MC MONG,MC몽,Song Ga In,송가인,Chancellor,챈슬러,EastWest,De view,Duble Sidekick,MC Mong,CHANCELLOR,Dayday,CHANNEL 8,FAME (feat. Song Ga In & Chancellor),인기 (Feat. 송가인, 챈슬러)",https://www.youtube.com/watch?v=tUO8uTc9PU8
kii3qRPZIVY,【 탬탬버린 】 - 근데 나도 그렇게 생각하긴 하는데 일단 진정해,탬탬버린,20,2026-07-07T07:00:12Z,151275,2791,117,"탬탬버린,게임,트위치,스트리머,스팀게임,탬탬,김점례,라디오,치지직,네이버,임나은,삐부,핑맨,채현찌,남봉,김뿡,김똘복,지누,강지,오버워치,픽셀내전,오버워치 내전",https://www.youtube.com/watch?v=kii3qRPZIVY
TIMFkD70Zm0,"정승환 '밤, 바다' Cover (원곡 : 최유리) | SeungTUDIO",정승환 Jung Seung Hwan,10,2026-07-07T09:00:06Z,21685,1498,155,"정승환,JungSeungHwan,정승환 라이브,정승환 보컬,정승환 커버,내머리가나빠서,입춘,한로로 입춘,정승환 마치 오늘처럼,정승환 축가,최유리,최유리 밤바다,최유리 라이브,축가",https://www.youtube.com/watch?v=TIMFkD70Zm0
dPnm2r9fqOE,"충격적인(?) 메이플키우기 최신 근황, 오픈 유저에게 물어봤습니다 | 메이플키우기 똥갓겜 [테스터훈]",테스터훈 TesterHoon,20,2026-07-07T11:06:55Z,141516,682,195,"테스터훈,게임,game,리그오브레전드,league of legends,장인초대석,초대석,뉴메타",https://www.youtube.com/watch?v=dPnm2r9fqOE
