original_major_category,original_middle_category,original_sub_category,original_food_name,food_code,image_count
,,,카이센동,FC08S03,60
,,,중화볶음면,FC07S02,60
,,,광어회,FC24S01,60
,,,날치알크림파스타,FC07S05,60
,,,마라쌀국수,FC07S02,60
,,,소유라멘,FC07S03,60
,,,차슈동,FC08S03,50
,,,어탕국수,FC07S01,50
,,,아몬드크로와상,FC10S09,50
,,,얼그레이마카롱,FC10S01,50
,,,우삼겹커리,FC19S01,50
,,,고구마식빵,FC10S05,50
,,,콩나물불고기(콩불),FC09S04,50
,,,해천탕,FC04S03,50
,,,매운해물쌀국수,FC07S02,50
,,,블루베리마카롱,FC10S07,50
,,,건두부볶음,FC07S02,50
,,,루꼴라피자,FC10S10,50
,,,차슈바오,FC07S04,40
,,,피자돈까스,FC22S03,40
,,,해신탕,FC04S03,40
,,,육회초밥,FC08S02,40
,,,유산슬,FC09S01,40
,,,추어만두,FC07S04,40
,,,치킨파히타,FC10S01,40
,,,콘수프,FC19S02,40
,,,해물누룽지탕,FC04S03,40
,,,해물라면,FC07S03,40
,,,흑임자죽,FC19S02,40
,,,경주빵,FC10S06,40
,,,순살간장치킨,FC22S05,40
,,,순살어니언치킨,FC22S05,40
,,,어니언베이컨피자,FC10S10,40
,,,우럭초밥,FC08S02,40
,,,오트밀식빵,FC10S01,40
,,,잡채고로케,FC10S05,40
,,,유린기,FC22S03,40
,,,빈대떡,FC16S02,40
,,,바닐라마카롱,FC10S01,40
,,,반계탕,FC04S04,40
,,,물갈비,FC20S02,40
,,,모짜렐라핫도그,FC10S01,40
,,,머랭쿠키,FC02S04,40
,,,비스마르크피자,FC10S10,40
,,,삼겹살스테이크,FC03S03,40
,,,소보루빵,FC10S01,40
,,,마라쇼룽샤,FC09S03,40
,,,마르게리따피자,FC10S10,40
,,,모시떡,FC01S02,40
,,,딸기크로와상,FC10S09,40
,,,두부샐러드,FC11S03,40
,,,두부버섯전골,FC20S03,40
,,,나폴리피자,FC10S10,40
,,,마라살꼬치,FC03S03,40
,,,닭고기쌀국수,FC07S02,40
,,,누드김밥,FC08S02,40
,,,황태찜,FC21S02,40
,,,개불,FC24S01,40
,,,감자그라탕,FC08S04,40
,,,갈비치킨,FC22S05,40
,,,가이 팟 퐁 커리,FC03S03,40
,,,가리비초밥,FC08S02,40
,,,게살고로케,FC10S01,30
,,,고르곤졸라피자,FC10S10,30
,,,황태육개장,FC20S01,30
,,,황태부대찌개,FC20S02,30
,,,감자토스트,FC10S04,30
,,,술떡,FC01S02,30
,,,닭계장,FC20S02,30
,,,페퍼로니피자(씬),FC10S10,30
,,,타코와사비,FC24S01,30
,,,크림치즈호두빵,FC10S08,30
,,,소고기부리또,FC10S04,30
,,,순살양념치킨,FC22S05,30
,,,새우토마토스파게티,FC07S05,30
,,,새우로제파스타,FC07S05,30
,,,쏨땀,FC11S03,30
,,,사천탕수육,FC22S03,30
,,,빨간참치김밥,FC08S02,30
,,,빙떡,FC01S02,30
,,,블루베리파이,FC02S01,30
,,,시래기해장국,FC04S04,30
,,,시나몬크로플,FC10S09,30
